id,brand,model,year,fuel,kms,price,transmission
6342ddb4355664886d0cacd5,Toyota,Avensis,2013,d,185000.0,20000.0,
6342dd42bfb0d2f47c01eb52,Lexus,IS200,1999,p,278560.0,5800.0,
6342dd213bd680bfcb0fe583,Mazda,Premacy,2003,d,230211.0,2800.0,
6336cfc0a9be7115fd0014f2,BMW,320,2000,d,300000.0,3500.0,
63134e2ed771274f5e0a1ab3,VW,Passat,2006,d,171000.0,7300.0,
630c3f48e2096f1c040cad33,BMW,330,2002,d,254035.0,6000.0,
62fb7ac4eba4fb6c37004152,BMW,520,2012,d,280000.0,26300.0,
62431d245a333469861bf5d2,Mini,ONE,2008,p,212000.0,4888.0,
63036451914202df450d9773,Mitsubishi,Space,1999,p,250000.0,3700.0,
62d2f736ed2aba32ac09da25,Audi,A4,2006,d,264000.0,8500.0,
632c96bdcbf7f29bfc0df898,BMW,320,2009,d,200742.0,8999.0,
6336a8d4e61229f67109e262,Kia,Ceed,2008,d,200000.0,7300.0,
633a7f752c00ddcbbd0a5cc6,Ford,Focus,2006,d,280000.0,3900.0,
62ffc5c889545e00b4019db2,Honda,CR-V,2008,d,228780.0,15500.0,
62da6e7afb1f8d5ef5019fb3,VW,Jetta,2006,d,181250.0,9000.0,
61f806fd83ff2c41c6476ac2,VW,Passat,2011,p,185950.0,16666.0,
62e2ce85c64482b4b80a57e2,Toyota,RAV,2010,d,240452.0,17800.0,
63050763c05a7ed85c0cf002,VW,Golf,2014,d,243580.0,18999.0,
626fd0c311d582f1dd0decb6,VW,Touran,2006,d,189503.0,10000.0,
62505bdfbede90bce005bc72,Honda,Jazz,2004,p,175350.0,5300.0,
633db32553720f71140adc04,VW,Golf,2007,d,173580.0,6900.0,
633f02951b41c702050931b3,Hyundai,i30,2012,d,200000.0,12900.0,
630b703e170a968686047fe2,VW,Passat,2002,d,263000.0,4999.0,
60f7e39108a9813aa332ee42,VW,T2,1974,p,80000.0,9190.0,
6127ca965c28ce10363e0453,Honda,HR-V,2001,p,201000.0,3700.0,
6217dcc57b11fc000f43ece3,Jeep,Wrangler,2006,p,63200.0,24000.0,
62ced6b186aa0372b20f7c95,Audi,A5,2011,d,176240.0,20700.0,
62ac4e9585527b4e10054e13,Audi,A4,2012,d,234231.0,19900.0,
62fb5738b60ad17ab60ed2f2,Opel,Zafira,2004,p,265000.0,3300.0,
631ec20f14ad083fc2085282,Mercedes-Benz,E,2004,d,284510.0,10899.0,
630c7f3ccb6d099eaf087b92,Seat,Leon,2000,p,190000.0,3350.0,
6342dd04497c574704059252,Honda,CR-V,2009,d,225000.0,14500.0,
